POA_CODE_2016,irradiation
POA,
POA1215,4.3
POA1220,4.36
POA1230,
POA1235,4.54
POA1240,4.54
POA1300,4.54
POA1335,4.54
POA1340,4.54
POA1350,4.54
POA1355,4.54
POA1360,4.54
POA1435,4.54
POA1445,4.67
POA1450,4.54
POA1455,4.67
POA1460,4.67
POA1465,4.54
POA1466,4.67
POA1470,4.54
POA1475,4.67
POA1480,4.67
POA1485,4.67
POA1490,4.67
POA1495,4.67
POA1499,4.36
POA1515,4.54
POA1560,4.54
POA1565,4.54
POA1570,4.54
POA1585,4.54
POA1590,4.54
POA1595,4.54
POA1630,4.54
POA1639,4.54
POA1640,4.54
POA1655,4.54
POA1660,4.54
POA1675,4.54
POA1680,4.54
POA1685,4.54
POA1700,4.36
POA1710,4.54
POA1715,4.54
POA1730,4.36
POA1750,4.3
POA1755,4.36
POA1765,4.36
POA1790,4.36
POA1800,4.54
POA1805,4.54
POA1811,4.44
POA1825,4.36
POA1835,4.36
POA1860,4.36
POA1871,4.36
POA1875,4.36
POA1885,4.36
POA1890,4.36
POA1891,4.36
POA200,
POA2000,4.514285714285714
POA2001,4.54
POA2002,4.54
POA2006,
POA2007,4.54
POA2008,4.54
POA2009,4.54
POA2010,4.54
POA2011,4.54
POA2012,4.3
POA2015,4.54
POA2016,4.54
POA2017,4.54
POA2018,4.67
POA2019,4.67
POA2020,4.67
POA2021,4.54
POA2022,4.54
POA2023,4.54
POA2024,4.54
POA2025,4.54
POA2026,4.54
POA2027,4.54
POA2028,4.54
POA2029,4.54
POA2030,4.54
POA2031,4.5725
POA2032,4.67
POA2033,4.54
POA2034,4.605
POA2035,4.67
POA2036,4.670000000000001
POA2037,4.54
POA2038,4.54
POA2039,4.54
POA2040,4.54
POA2041,4.54
POA2042,4.54
POA2043,4.54
POA2044,4.67
POA2045,4.54
POA2046,4.54
POA2047,4.54
POA2048,4.54
POA2049,4.54
POA2050,4.54
POA2052,4.67
POA2057,4.54
POA2059,4.54
POA2060,4.54
POA2061,4.54
POA2062,4.54
POA2063,4.54
POA2064,4.54
POA2065,4.54
POA2066,4.612857142857143
POA2067,4.54
POA2068,4.532
POA2069,4.54
POA2070,4.54
POA2071,4.54
POA2073,4.54
POA2074,4.52
POA2075,4.54
POA2076,4.54
POA2077,4.54
POA2079,4.54
POA2080,
POA2081,4.54
POA2082,4.54
POA2083,4.54
POA2084,4.54
POA2085,4.54
POA2086,4.54
POA2087,4.54
POA2088,4.54
POA2089,4.54
POA2090,4.54
POA2092,4.54
POA2093,4.54
POA2094,4.54
POA2095,4.54
POA2096,4.54
POA2097,4.54
POA2099,4.54
POA2100,4.533333333333332
POA2101,4.54
POA2102,4.54
POA2103,4.54
POA2104,4.54
POA2105,4.54
POA2106,4.54
POA2107,4.54
POA2108,4.54
POA2109,
POA2110,4.54
POA2111,4.54
POA2112,4.54
POA2113,4.583333333333333
POA2114,4.54
POA2115,4.36
POA2116,4.36
POA2117,4.405
POA2118,4.36
POA2119,4.54
POA2120,4.54
POA2121,4.54
POA2122,4.54
POA2123,4.36
POA2124,4.36
POA2125,
POA2126,4.54
POA2127,4.36
POA2128,4.44
POA2129,4.54
POA2130,4.54
POA2131,4.54
POA2132,4.54
POA2133,4.605
POA2134,4.54
POA2135,4.54
POA2136,4.54
POA2137,4.54
POA2138,4.54
POA2139,
POA2140,4.36
POA2141,4.36
POA2142,4.36
POA2143,4.36
POA2144,4.36
POA2145,4.36
POA2146,4.36
POA2147,4.345000000000001
POA2148,4.36
POA2150,4.36
POA2151,4.33
POA2152,4.36
POA2153,4.36
POA2154,4.36
POA2155,4.345
POA2156,4.36
POA2157,4.54
POA2158,4.48
POA2159,4.54
POA2160,4.36
POA2161,4.36
POA2162,4.36
POA2163,4.423333333333333
POA2164,4.36
POA2165,4.36
POA2166,4.36
POA2167,4.36
POA2168,4.36
POA2170,4.36
POA2171,4.348000000000001
POA2172,4.36
POA2173,4.36
POA2174,4.36
POA2175,4.36
POA2176,4.36
POA2177,4.36
POA2178,4.36
POA2179,4.36
POA2190,4.36
POA2191,4.36
POA2192,4.67
POA2193,4.67
POA2194,4.67
POA2195,4.36
POA2196,4.36
POA2197,4.36
POA2198,4.36
POA2199,4.36
POA2200,4.348
POA2203,4.67
POA2204,4.67
POA2205,4.67
POA2206,4.67
POA2207,4.67
POA2208,4.67
POA2209,4.515000000000001
POA2210,4.36
POA2211,4.36
POA2212,4.36
POA2213,4.36
POA2214,4.36
POA2216,4.67
POA2217,4.670000000000001
POA2218,4.67
POA2219,4.67
POA2220,4.635
POA2221,4.656000000000001
POA2222,4.67
POA2223,4.67
POA2224,4.67
POA2225,4.67
POA2226,4.566666666666667
POA2227,4.67
POA2228,4.67
POA2229,4.67
POA2230,4.67
POA2231,4.67
POA2232,4.515
POA2233,4.348
POA2234,4.36
POA2250,4.520952380952382
POA2251,4.535555555555556
POA2256,4.54
